abbrev,state,povertyRate,avgHHIncome
NE,Nebraska,9.90,63290
NV,Nevada,12.6,63268
NH,New Hampshire,7.5,78571
NJ,New Jersey,9.09,85786
NM,New Mexico,17.5,52021
NY,New York,13.1,72038
NC,North Carolina,13.6,57388
ND,North Dakota,10.5,67402
OH,Ohio,13,58704
OK,Oklahoma,15.1,54447
OR,Oregon,11.5,66955
PA,Pennsylvania,12,63455
RI,Rhode Island,11.6,70383
SC,South Carolina,13.9,56360
SD,South Dakota,11.9,60414
TN,Tennessee,13.8,56047
TX,Texas,13.6,64044
UT,Utah,8.80,75705
VT,Vermont,10.1,63293
VA,Virginia,9.90,76471
WA,Washington,9.80,78674
WV,West Virginia,16.1,48659
WI,Wisconsin,10.4,64177
WY,Wyoming,9.90,66152
AL,Alabama,14.9,53958
AK,Alaska,9.59,79961
AZ,Arizona,12.8,64652
AR,Arkansas,15.1,51146
CA,California,11.5,83001
CO,Colorado,9,77688
CT,Connecticut,9.69,79723
DE,Delaware,10.9,71335
FL,Florida,12.4,61724
GA,Georgia,14,62800
HI,Hawaii,8.90,86878
ID,Idaho,10.1,62603
IL,Illinois,11,71243
IN,Indiana,11.6,60794
IA,Iowa,10.1,62362
KS,Kansas,10.6,63214
KY,Kentucky,14.9,54074
LA,Louisiana,17.8,51730
ME,Maine,10.6,59145
MD,Maryland,9,88589
MA,Massachusetts,9.40,87288
MI,Michigan,12.6,61352
MN,Minnesota,8.30,75489
MS,Mississippi,18.6,47368
MO,Missouri,12.1,58812
MT,Montana,12.4,57730
NE,Nebraska,9.19,64735
NV,Nevada,12.5,64608
NH,New Hampshire,7,81415
NJ,New Jersey,9.40,87095
NM,New Mexico,16.8,52285
NY,New York,12.6,73354
NC,North Carolina,12.9,59616
ND,North Dakota,10.1,64289
OH,Ohio,12.6,60360
OK,Oklahoma,14.3,54512
OR,Oregon,11,67832
PA,Pennsylvania,10.9,64898
RI,Rhode Island,10.6,73919
SC,South Carolina,13.8,57216
SD,South Dakota,11.6,61149
TN,Tennessee,13.6,56962
TX,Texas,13.4,66048
UT,Utah,7.29,77785
VT,Vermont,9.40,67717
VA,Virginia,9.19,79154
WA,Washington,9.5,80319
WV,West Virginia,15.8,49202
WI,Wisconsin,10,64901
WY,Wyoming,9.19,67284
AL,Alabama,16.3,53990
AK,Alaska,10.8,78437
AZ,Arizona,12.9,68967
AR,Arkansas,16,52577
CA,California,12.3,84831
CO,Colorado,9.69,82228
CT,Connecticut,10.1,83628
DE,Delaware,11.5,71636
FL,Florida,13.1,63054
GA,Georgia,14.1,66507
HI,Hawaii,10.9,85547
ID,Idaho,10.8,66318
IL,Illinois,12.1,72215
IN,Indiana,12.1,62723
IA,Iowa,11,65645
KS,Kansas,11.6,64128
KY,Kentucky,16.3,55532
LA,Louisiana,19.5,52090
ME,Maine,11.1,64823
MD,Maryland,10.3,90129
MA,Massachusetts,10.4,89577
MI,Michigan,13,63444
MN,Minnesota,9.30,77712
MS,Mississippi,19.1,48871
MO,Missouri,12.8,61815
MT,Montana,12,63357
NE,Nebraska,10.5,66949
NV,Nevada,14,66194
NH,New Hampshire,7.40,88268
NJ,New Jersey,10.1,89227
NM,New Mexico,17.6,54304
NY,New York,14,74230
NC,North Carolina,13.5,61997
ND,North Dakota,10.9,67603
OH,Ohio,13.3,62286
OK,Oklahoma,15.4,55829
OR,Oregon,12.1,71441
PA,Pennsylvania,12,68931
RI,Rhode Island,12.1,73324
SC,South Carolina,14.5,59447
SD,South Dakota,11.9,66843
TN,Tennessee,13.6,59698
TX,Texas,14.1,66959
UT,Utah,8.69,79449
VT,Vermont,10.1,72415
VA,Virginia,10.3,80926
WA,Washington,9.90,84155
WV,West Virginia,16.8,51122
WI,Wisconsin,10.8,67150
WY,Wyoming,10.6,66508
